realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2005-06-29,78155
2019-12-23,2019-12-23,2005-07-06,78156
2019-12-23,2019-12-23,2005-07-13,78153
2019-12-23,2019-12-23,2005-07-20,78151
2019-12-23,2019-12-23,2005-07-27,78149
2019-12-23,2019-12-23,2005-08-03,78148
2019-12-23,2019-12-23,2005-08-10,78149
2019-12-23,2019-12-23,2005-08-17,76983
2019-12-23,2019-12-23,2005-08-24,76984
2019-12-23,2019-12-23,2005-08-31,76985
2019-12-23,2019-12-23,2005-09-07,76996
2019-12-23,2019-12-23,2005-09-14,77104
2019-12-23,2019-12-23,2005-09-21,77115
2019-12-23,2019-12-23,2005-09-28,77125
2019-12-23,2019-12-23,2005-10-05,77136
2019-12-23,2019-12-23,2005-10-12,77148
2019-12-23,2019-12-23,2005-10-19,77159
2019-12-23,2019-12-23,2005-10-26,77170
2019-12-23,2019-12-23,2005-11-02,78089
2019-12-23,2019-12-23,2005-11-09,78117
2019-12-23,2019-12-23,2005-11-16,80365
2019-12-23,2019-12-23,2005-11-23,77170
2019-12-23,2019-12-23,2005-11-30,77194
2019-12-23,2019-12-23,2005-12-07,77199
2019-12-23,2019-12-23,2005-12-14,77204
2019-12-23,2019-12-23,2005-12-21,77208
2019-12-23,2019-12-23,2005-12-28,77213
2019-12-23,2019-12-23,2006-01-04,77204
2019-12-23,2019-12-23,2006-01-11,77283
2019-12-23,2019-12-23,2006-01-18,77264
2019-12-23,2019-12-23,2006-01-25,77371
2019-12-23,2019-12-23,2006-02-01,79111
2019-12-23,2019-12-23,2006-02-08,79099
2019-12-23,2019-12-23,2006-02-15,80769
2019-12-23,2019-12-23,2006-02-22,78879
2019-12-23,2019-12-23,2006-03-01,79796
2019-12-23,2019-12-23,2006-03-08,79816
2019-12-23,2019-12-23,2006-03-15,79942
2019-12-23,2019-12-23,2006-03-22,79962
2019-12-23,2019-12-23,2006-03-29,79982
2019-12-23,2019-12-23,2006-04-05,79992
2019-12-23,2019-12-23,2006-04-12,79998
2019-12-23,2019-12-23,2006-04-19,80003
2019-12-23,2019-12-23,2006-04-26,80009
2019-12-23,2019-12-23,2006-05-03,80018
2019-12-23,2019-12-23,2006-05-10,80033
2019-12-23,2019-12-23,2006-05-17,82342
2019-12-23,2019-12-23,2006-05-24,78265
2019-12-23,2019-12-23,2006-05-31,78280
2019-12-23,2019-12-23,2006-06-07,78304
2019-12-23,2019-12-23,2006-06-14,78328
2019-12-23,2019-12-23,2006-06-21,78352
