realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2005-06-29,216580
2019-12-23,2019-12-23,2005-07-06,215250
2019-12-23,2019-12-23,2005-07-13,215248
2019-12-23,2019-12-23,2005-07-20,209727
2019-12-23,2019-12-23,2005-07-27,209725
2019-12-23,2019-12-23,2005-08-03,207587
2019-12-23,2019-12-23,2005-08-10,207588
2019-12-23,2019-12-23,2005-08-17,212630
2019-12-23,2019-12-23,2005-08-24,213119
2019-12-23,2019-12-23,2005-08-31,211783
2019-12-23,2019-12-23,2005-09-07,211793
2019-12-23,2019-12-23,2005-09-14,214341
2019-12-23,2019-12-23,2005-09-21,214351
2019-12-23,2019-12-23,2005-09-28,215465
2019-12-23,2019-12-23,2005-10-05,215254
2019-12-23,2019-12-23,2005-10-12,215264
2019-12-23,2019-12-23,2005-10-19,210114
2019-12-23,2019-12-23,2005-10-26,210625
2019-12-23,2019-12-23,2005-11-02,210651
2019-12-23,2019-12-23,2005-11-09,210677
2019-12-23,2019-12-23,2005-11-16,209687
2019-12-23,2019-12-23,2005-11-23,210812
2019-12-23,2019-12-23,2005-11-30,210726
2019-12-23,2019-12-23,2005-12-07,210730
2019-12-23,2019-12-23,2005-12-14,210735
2019-12-23,2019-12-23,2005-12-21,210739
2019-12-23,2019-12-23,2005-12-28,210743
2019-12-23,2019-12-23,2006-01-04,209454
2019-12-23,2019-12-23,2006-01-11,210059
2019-12-23,2019-12-23,2006-01-18,208293
2019-12-23,2019-12-23,2006-01-25,208279
2019-12-23,2019-12-23,2006-02-01,209981
2019-12-23,2019-12-23,2006-02-08,209974
2019-12-23,2019-12-23,2006-02-15,212648
2019-12-23,2019-12-23,2006-02-22,213888
2019-12-23,2019-12-23,2006-03-01,213483
2019-12-23,2019-12-23,2006-03-08,213951
2019-12-23,2019-12-23,2006-03-15,215452
2019-12-23,2019-12-23,2006-03-22,215466
2019-12-23,2019-12-23,2006-03-29,215479
2019-12-23,2019-12-23,2006-04-05,215819
2019-12-23,2019-12-23,2006-04-12,215823
2019-12-23,2019-12-23,2006-04-19,215827
2019-12-23,2019-12-23,2006-04-26,216926
2019-12-23,2019-12-23,2006-05-03,216216
2019-12-23,2019-12-23,2006-05-10,216226
2019-12-23,2019-12-23,2006-05-17,212424
2019-12-23,2019-12-23,2006-05-24,213652
2019-12-23,2019-12-23,2006-05-31,213268
2019-12-23,2019-12-23,2006-06-07,214618
2019-12-23,2019-12-23,2006-06-14,215950
2019-12-23,2019-12-23,2006-06-21,215966
2019-12-23,2019-12-23,2006-06-28,215982
2019-12-23,2019-12-23,2006-07-05,217323
2019-12-23,2019-12-23,2006-07-12,217332
2019-12-23,2019-12-23,2006-07-19,217908
2019-12-23,2019-12-23,2006-07-26,217918
2019-12-23,2019-12-23,2006-08-02,218566
2019-12-23,2019-12-23,2006-08-09,218570
2019-12-23,2019-12-23,2006-08-16,211115
2019-12-23,2019-12-23,2006-08-23,211118
2019-12-23,2019-12-23,2006-08-30,212576
2019-12-23,2019-12-23,2006-09-06,213289
2019-12-23,2019-12-23,2006-09-13,214615
2019-12-23,2019-12-23,2006-09-20,214621
2019-12-23,2019-12-23,2006-09-27,214627
2019-12-23,2019-12-23,2006-10-04,215770
2019-12-23,2019-12-23,2006-10-11,215774
2019-12-23,2019-12-23,2006-10-18,217172
2019-12-23,2019-12-23,2006-10-25,217176
2019-12-23,2019-12-23,2006-11-01,218327
2019-12-23,2019-12-23,2006-11-08,218530
2019-12-23,2019-12-23,2006-11-15,217679
2019-12-23,2019-12-23,2006-11-22,219213
2019-12-23,2019-12-23,2006-11-29,219202
2019-12-23,2019-12-23,2006-12-06,220125
2019-12-23,2019-12-23,2006-12-13,221541
2019-12-23,2019-12-23,2006-12-20,222856
2019-12-23,2019-12-23,2006-12-27,224185
2019-12-23,2019-12-23,2007-01-03,224972
2019-12-23,2019-12-23,2007-01-10,224968
2019-12-23,2019-12-23,2007-01-17,222745
2019-12-23,2019-12-23,2007-01-24,222742
2019-12-23,2019-12-23,2007-01-31,222478
2019-12-23,2019-12-23,2007-02-07,222482
2019-12-23,2019-12-23,2007-02-14,226945
2019-12-23,2019-12-23,2007-02-21,219506
2019-12-23,2019-12-23,2007-02-28,229242
2019-12-23,2019-12-23,2007-03-07,224564
2019-12-23,2019-12-23,2007-03-14,224570
2019-12-23,2019-12-23,2007-03-21,224576
2019-12-23,2019-12-23,2007-03-28,224582
2019-12-23,2019-12-23,2007-04-04,226033
2019-12-23,2019-12-23,2007-04-11,226985
2019-12-23,2019-12-23,2007-04-18,226996
2019-12-23,2019-12-23,2007-04-25,229833
2019-12-23,2019-12-23,2007-05-02,234977
2019-12-23,2019-12-23,2007-05-09,237737
2019-12-23,2019-12-23,2007-05-16,229466
2019-12-23,2019-12-23,2007-05-23,229490
2019-12-23,2019-12-23,2007-05-30,229514
2019-12-23,2019-12-23,2007-06-06,233320
2019-12-23,2019-12-23,2007-06-13,233338
2019-12-23,2019-12-23,2007-06-20,233355
2019-12-23,2019-12-23,2007-06-27,233373
2019-12-23,2019-12-23,2007-07-04,234953
2019-12-23,2019-12-23,2007-07-11,234969
2019-12-23,2019-12-23,2007-07-18,237738
2019-12-23,2019-12-23,2007-07-25,237758
2019-12-23,2019-12-23,2007-08-01,238073
2019-12-23,2019-12-23,2007-08-08,238079
